,node_i,node_j,sim
178,1,31,0.7159408397779115
179,1,32,0.7361393747724762
180,1,33,0.732247223037037
181,1,34,0.7225119393103844
182,1,35,0.7166814075981204
183,1,36,0.7293745138552268
184,1,37,0.7261281004192797
185,1,38,0.7389889349836173
186,1,39,0.7293230339159906
187,1,40,0.7322218430294032
188,1,41,0.7193176029390527
189,1,42,0.7260046045981453
190,1,43,0.7287726034653681
191,1,44,0.7162911305519631
192,1,45,0.7264667157512594
193,1,46,0.7300389950022192
194,1,47,0.7371186929061764
195,1,48,0.7235649585149158
196,1,49,0.7290181797915122
197,1,50,0.733574147767744
198,1,51,0.7328161128156642
199,1,52,0.7303000903598239
200,1,53,0.7347532430282752
201,1,54,0.7421566880541927
202,1,55,0.7308886984388121
203,1,56,0.7299811716153279
204,1,57,0.7269726018701974
205,1,58,0.7337564343558616
206,1,59,0.7281075809309633
207,1,60,0.7319228727138398
208,1,61,0.7229682309285353
209,1,62,0.7285297383450254
210,1,63,0.7389011221802585
211,1,64,0.7329815413646802
212,1,65,0.730843916836569
213,1,66,0.7317618921175549
214,1,67,0.7251773300126954
215,1,68,0.7312683147876496
216,1,69,0.7315781411204971
217,1,70,0.7276753497040345
218,1,71,0.731415149580144
219,1,72,0.7303270757840119
220,1,73,0.7296846840912978
221,1,74,0.7322727065472799
222,1,75,0.728786413134736
223,1,76,0.730141112177566
224,1,77,0.7346278288483661
225,1,78,0.7214055868525266
226,1,79,0.7322400469725938
227,1,80,0.7306387535917315
228,1,81,0.7311570181501625
229,1,82,0.7341850797734887
230,1,83,0.7255262339401823
231,1,84,0.7300494246883118
232,1,85,0.7275117812293734
233,1,86,0.7311771464335723
234,1,87,0.7371635575694432
235,1,88,0.7310050392841303
236,1,89,0.730766535130173
237,1,90,0.7369096119062868
238,1,91,0.7322603045647251
239,1,92,0.7274173544305416
240,1,93,0.7318582468590688
241,1,94,0.7274956787150719
242,1,95,0.7299771391236513
243,1,96,0.7339996438953924
244,1,97,0.730794652768402
245,1,98,0.7297566350083732
246,1,99,0.7287073981084444
247,1,100,0.7314119400389534
248,1,101,0.7252238725909668
249,1,102,0.7289855985660477
250,1,103,0.7282836998562454
251,1,104,0.7312999533945059
252,1,105,0.726649647799371
253,1,106,0.7276414836924793
254,1,107,0.728360925261956
255,1,108,0.730812226300039
256,1,109,0.7278163509397311
257,1,110,0.7311115968846451
258,1,111,0.73147412462855
259,1,112,0.7219859031696527
260,1,113,0.7267465287824911
261,1,114,0.7276968510056323
262,1,115,0.7248230006668157
263,1,116,0.7275686536178814
264,1,117,0.732064428120767
265,1,118,0.7327763032021462
266,1,119,0.7261189586388344
267,1,120,0.7334789991644073
268,1,121,0.7281976694725644
269,1,122,0.7280722845832579
270,1,123,0.7284981233712096
271,1,124,0.7234562499509843
272,1,125,0.7278968764775496
273,1,126,0.7244851477477785
274,1,127,0.7272924922133612
275,1,128,0.7262008568731566
276,1,129,0.725940461015125
277,1,130,0.7318751349069909
278,1,131,0.7339650298002489
279,1,132,0.7304705526323839
280,1,133,0.731190517889897
281,1,134,0.730841504809325
282,1,135,0.7278827497106888
283,1,136,0.7339921807127581
284,1,137,0.7346615857624325
285,1,138,0.7292494725433133
286,1,139,0.7335186910702352
287,1,140,0.7281644396558555
288,1,141,0.7295326916839168
289,1,142,0.7302795795152022
290,1,143,0.7289703995028051
291,1,144,0.7257619980361915
292,1,145,0.7329826927864822
293,1,146,0.7305726533179187
294,1,147,0.7276099328738569
295,1,148,0.7321327989507068
296,1,149,0.7280872294564705
297,2,3,0.726956046837252
298,2,4,0.8639026084398826
299,2,5,0.9281115641574362
300,2,6,0.7910909761636404
301,2,7,0.806168515915089
302,2,8,0.8747862286258297
303,2,9,0.8816616453285545
304,2,10,0.8371419284441712
305,2,11,0.8260737960028866
306,2,12,0.8082097862548263
307,2,13,0.8640511628882855
308,2,14,0.8524625462236479
309,2,15,0.8177465683230164
310,2,16,0.8393007634800982
311,2,17,0.871240538058355
312,2,18,0.8512977357442199
313,2,19,0.8393282315697912
314,2,20,0.8360362651292702
315,2,21,0.8484506260013829
316,2,22,0.8362454761061295
317,2,23,0.8517544544405087
318,2,24,0.8624763144287512
319,2,25,0.8507766567436988
320,2,26,0.8557288854617464
321,2,27,0.8424038897943978
322,2,28,0.8459328944107475
323,2,29,0.8642645670692456
324,2,30,0.847948963762595
325,2,31,0.8503652789946834
